GO.ID,Term,Annotated,Significant,Expected,Rank in Fisher.classic,Fisher.elim,Fisher.classic
GO:0002503,peptide antigen assembly with MHC class ...,11,8,0.41,9,4.7e-10,5.8e-10
GO:0019886,antigen processing and presentation of e...,23,10,0.85,18,3.0e-09,3.9e-09
GO:0098869,cellular oxidant detoxification,61,12,2.25,46,1.8e-06,2.3e-06
GO:0045087,innate immune response,474,47,17.47,11,8.5e-06,8.4e-10
GO:0006691,leukotriene metabolic process,15,6,0.55,58,9.0e-06,1.1e-05
GO:0016137,glycoside metabolic process,15,6,0.55,59,9.0e-06,1.1e-05
GO:0046456,icosanoid biosynthetic process,29,9,1.07,42,1.4e-05,7.4e-07
GO:0001916,positive regulation of T cell mediated c...,16,6,0.59,64,1.4e-05,1.6e-05
GO:1990748,cellular detoxification,68,16,2.51,17,5.2e-05,3.1e-09
GO:0042744,hydrogen peroxide catabolic process,13,5,0.48,84,6.7e-05,7.6e-05
GO:0006081,cellular aldehyde metabolic process,39,8,1.44,86,7.1e-05,8.6e-05
GO:0010885,regulation of cholesterol storage,14,5,0.52,90,0.00010,0.00011
GO:0044248,cellular catabolic process,1482,95,54.62,28,0.00011,4.4e-08
GO:0032787,monocarboxylic acid metabolic process,324,37,11.94,13,0.00011,1.4e-09
GO:0006120,mitochondrial electron transport, NADH t...,42,8,1.55,94,0.00012,0.00015
GO:0071402,cellular response to lipoprotein particl...,23,6,0.85,96,0.00014,0.00016
GO:0010888,negative regulation of lipid storage,17,5,0.63,106,0.00028,0.00032
GO:0098581,detection of external biotic stimulus,10,4,0.37,108,0.00032,0.00035
GO:0006958,complement activation, classical pathway,27,6,1,113,0.00037,0.00043
GO:0002698,negative regulation of immune effector p...,64,12,2.36,48,0.00040,4.0e-06
GO:0002921,negative regulation of humoral immune re...,11,4,0.41,119,0.00049,0.00054
GO:0002381,immunoglobulin production involved in im...,51,8,1.88,122,0.00050,0.00060
GO:0006635,fatty acid beta-oxidation,51,8,1.88,123,0.00050,0.00060
GO:0001909,leukocyte mediated cytotoxicity,78,15,2.87,34,0.00050,1.7e-07
GO:0032981,mitochondrial respiratory chain complex ...,52,8,1.92,129,0.00057,0.00068
GO:0019885,antigen processing and presentation of e...,12,4,0.44,133,0.00071,0.00079
GO:0009617,response to bacterium,333,28,12.27,79,0.00074,6.0e-05
GO:0050819,negative regulation of coagulation,21,5,0.77,139,0.00082,0.00093
GO:0055094,response to lipoprotein particle,21,5,0.77,140,0.00082,0.00093
GO:0016485,protein processing,145,14,5.34,145,0.00090,0.00116
GO:0034308,primary alcohol metabolic process,44,7,1.62,147,0.00103,0.00120
GO:0033993,response to lipid,488,32,17.99,161,0.00104,0.00163
GO:0002483,antigen processing and presentation of e...,14,6,0.52,55,0.00133,6.5e-06
GO:0030449,regulation of complement activation,14,4,0.52,154,0.00135,0.00150
GO:0045953,negative regulation of natural killer ce...,14,4,0.52,155,0.00135,0.00150
GO:0030593,neutrophil chemotaxis,60,8,2.21,165,0.00150,0.00178
GO:0042168,heme metabolic process,28,7,1.03,80,0.00151,6.2e-05
