GO.ID,Term,Annotated,Significant,Expected,Rank in Fisher.classic,Fisher.elim,Fisher.classic
GO:0071222,cellular response to lipopolysaccharide,125,15,2.22,16,4.7e-09,4.7e-09
GO:0070098,chemokine-mediated signaling pathway,37,9,0.66,26,1.1e-08,1.1e-08
GO:0006954,inflammatory response,408,28,7.24,8,1.2e-08,5.1e-10
GO:0045766,positive regulation of angiogenesis,82,10,1.46,81,1.7e-06,1.7e-06
GO:0030593,neutrophil chemotaxis,60,8,1.07,108,9.7e-06,9.7e-06
GO:0030279,negative regulation of ossification,18,5,0.32,112,1.2e-05,1.2e-05
GO:0007204,positive regulation of cytosolic calcium...,116,10,2.06,132,3.8e-05,3.8e-05
GO:0007159,leukocyte cell-cell adhesion,239,15,4.24,125,5.4e-05,2.1e-05
GO:0030500,regulation of bone mineralization,39,6,0.69,142,5.7e-05,5.7e-05
GO:0002690,positive regulation of leukocyte chemota...,59,7,1.05,149,7.7e-05,7.7e-05
GO:0070168,negative regulation of biomineral tissue...,15,4,0.27,157,0.00011,0.00011
GO:0010884,positive regulation of lipid storage,15,4,0.27,158,0.00011,0.00011
GO:0071347,cellular response to interleukin-1,64,7,1.14,165,0.00013,0.00013
GO:0045597,positive regulation of cell differentiat...,457,20,8.11,168,0.00016,0.00016
GO:0046903,secretion,447,23,7.94,98,0.00026,3.6e-06
GO:0006935,chemotaxis,282,23,5.01,10,0.00034,7.8e-10
GO:0007186,G protein-coupled receptor signaling pat...,261,20,4.63,36,0.00041,3.2e-08
GO:0002291,T cell activation via T cell receptor co...,10,3,0.18,199,0.00060,0.00060
GO:0070374,positive regulation of ERK1 and ERK2 cas...,108,8,1.92,201,0.00065,0.00065
GO:0050830,defense response to Gram-positive bacter...,41,5,0.73,208,0.00074,0.00074
GO:0002825,regulation of T-helper 1 type immune res...,11,3,0.2,211,0.00082,0.00082
GO:0061844,antimicrobial humoral immune response me...,25,4,0.44,217,0.00090,0.00090
GO:0071356,cellular response to tumor necrosis fact...,143,9,2.54,223,0.00098,0.00098
GO:0001525,angiogenesis,265,20,4.71,40,0.00100,4.1e-08
GO:1904063,negative regulation of cation transmembr...,44,5,0.78,226,0.00103,0.00103
GO:0071542,dopaminergic neuron differentiation,12,3,0.21,229,0.00107,0.00107
GO:0046885,regulation of hormone biosynthetic proce...,12,3,0.21,230,0.00107,0.00107
GO:0008037,cell recognition,66,6,1.17,231,0.00107,0.00107
GO:0007188,adenylate cyclase-modulating G protein-c...,66,6,1.17,232,0.00107,0.00107
GO:0048146,positive regulation of fibroblast prolif...,27,4,0.48,237,0.00122,0.00122
GO:0032729,positive regulation of interferon-gamma ...,46,5,0.82,240,0.00126,0.00126
GO:0070371,ERK1 and ERK2 cascade,179,14,3.18,96,0.00128,3.3e-06
GO:0042127,regulation of cell population proliferat...,893,39,15.86,49,0.00137,6.8e-08
GO:0032740,positive regulation of interleukin-17 pr...,13,3,0.23,246,0.00138,0.00138
GO:0045744,negative regulation of G protein-coupled...,28,4,0.5,247,0.00140,0.00140
GO:0045785,positive regulation of cell adhesion,280,13,4.97,248,0.00141,0.00141
GO:0002823,negative regulation of adaptive immune r...,29,4,0.51,257,0.00161,0.00161
GO:0051591,response to cAMP,49,5,0.87,262,0.00168,0.00168
GO:0010818,T cell chemotaxis,14,3,0.25,265,0.00173,0.00173
GO:0010800,positive regulation of peptidyl-threonin...,14,3,0.25,266,0.00173,0.00173
GO:0007229,integrin-mediated signaling pathway,73,6,1.3,271,0.00182,0.00182
GO:0030728,ovulation,15,3,0.27,288,0.00214,0.00214
GO:0019722,calcium-mediated signaling,102,7,1.81,289,0.00219,0.00219
GO:0046545,development of primary female sexual cha...,53,5,0.94,296,0.00239,0.00239
GO:0002429,immune response-activating cell surface ...,164,9,2.91,299,0.00254,0.00254
GO:2001243,negative regulation of intrinsic apoptot...,78,6,1.38,301,0.00255,0.00255
GO:0060135,maternal process involved in female preg...,33,4,0.59,304,0.00262,0.00262
GO:0008285,negative regulation of cell population p...,414,16,7.35,306,0.00274,0.00274
GO:0071322,cellular response to carbohydrate stimul...,80,6,1.42,308,0.00290,0.00290
GO:0055065,metal ion homeostasis,293,19,5.2,74,0.00298,9.6e-07
GO:0010743,regulation of macrophage derived foam ce...,17,3,0.3,313,0.00311,0.00311
GO:0046835,carbohydrate phosphorylation,17,3,0.3,314,0.00311,0.00311
GO:0007399,nervous system development,1182,36,20.99,204,0.00314,0.00068
GO:0051240,positive regulation of multicellular org...,745,36,13.23,31,0.00325,1.9e-08
GO:0002548,monocyte chemotaxis,35,4,0.62,320,0.00326,0.00326
GO:0043030,regulation of macrophage activation,35,4,0.62,321,0.00326,0.00326
GO:0001678,cellular glucose homeostasis,82,6,1.46,322,0.00328,0.00328
GO:0030335,positive regulation of cell migration,323,20,5.73,75,0.00333,1.0e-06
GO:0038066,p38MAPK cascade,38,6,0.67,137,0.00351,4.9e-05
GO:0043434,response to peptide hormone,240,11,4.26,324,0.00360,0.00360
GO:0002274,myeloid leukocyte activation,149,11,2.65,145,0.00364,6.5e-05
GO:0010863,positive regulation of phospholipase C a...,18,3,0.32,325,0.00368,0.00368
GO:0030316,osteoclast differentiation,59,5,1.05,328,0.00383,0.00383
GO:0045444,fat cell differentiation,143,8,2.54,331,0.00388,0.00388
GO:0042981,regulation of apoptotic process,870,30,15.45,182,0.00396,0.00027
GO:0002793,positive regulation of peptide secretion,37,4,0.66,334,0.00400,0.00400
GO:0045742,positive regulation of epidermal growth ...,19,3,0.34,342,0.00432,0.00432
GO:0032885,regulation of polysaccharide biosyntheti...,19,3,0.34,343,0.00432,0.00432
GO:0010614,negative regulation of cardiac muscle hy...,19,3,0.34,344,0.00432,0.00432
GO:0034113,heterotypic cell-cell adhesion,38,4,0.67,346,0.00441,0.00441
GO:0000122,negative regulation of transcription by ...,515,18,9.14,348,0.00442,0.00442
GO:0015711,organic anion transport,147,8,2.61,354,0.00459,0.00459
GO:0031960,response to corticosteroid,88,6,1.56,355,0.00466,0.00466
GO:1903037,regulation of leukocyte cell-cell adhesi...,214,10,3.8,358,0.00475,0.00475
GO:0061448,connective tissue development,118,7,2.1,361,0.00495,0.00495
GO:1900745,positive regulation of p38MAPK cascade,20,3,0.36,363,0.00501,0.00501
GO:1902624,positive regulation of neutrophil migrat...,20,3,0.36,364,0.00501,0.00501
GO:0001704,formation of primary germ layer,63,5,1.12,367,0.00508,0.00508
GO:0032675,regulation of interleukin-6 production,90,6,1.6,370,0.00520,0.00520
GO:1901701,cellular response to oxygen-containing c...,652,35,11.58,12,0.00523,2.1e-09
GO:0065008,regulation of biological quality,1912,63,33.95,52,0.00530,1.0e-07
GO:0043470,regulation of carbohydrate catabolic pro...,40,4,0.71,373,0.00532,0.00532
GO:0001570,vasculogenesis,40,4,0.71,374,0.00532,0.00532
GO:0042060,wound healing,253,11,4.49,376,0.00535,0.00535
GO:0050863,regulation of T cell activation,218,10,3.87,377,0.00540,0.00540
GO:0042692,muscle cell differentiation,184,9,3.27,378,0.00543,0.00543
GO:0034219,carbohydrate transmembrane transport,64,5,1.14,379,0.00544,0.00544
GO:0002698,negative regulation of immune effector p...,64,5,1.14,380,0.00544,0.00544
GO:0002237,response to molecule of bacterial origin,195,20,3.46,5,0.00555,1.9e-10
GO:0003008,system process,717,28,12.73,140,0.00559,5.5e-05
GO:0043085,positive regulation of catalytic activit...,683,24,12.13,219,0.00565,0.00093
GO:0150077,regulation of neuroinflammatory response,21,3,0.37,382,0.00577,0.00577
GO:0050679,positive regulation of epithelial cell p...,92,6,1.63,385,0.00579,0.00579
GO:0045446,endothelial cell differentiation,65,5,1.15,386,0.00581,0.00581
GO:0008217,regulation of blood pressure,65,5,1.15,387,0.00581,0.00581
GO:0042093,T-helper cell differentiation,41,4,0.73,389,0.00581,0.00581
GO:0032663,regulation of interleukin-2 production,41,4,0.73,390,0.00581,0.00581
GO:0002064,epithelial cell development,122,7,2.17,392,0.00593,0.00593
GO:0040007,growth,534,18,9.48,396,0.00641,0.00641
GO:1902930,regulation of alcohol biosynthetic proce...,22,3,0.39,399,0.00660,0.00660
GO:0015804,neutral amino acid transport,22,3,0.39,400,0.00660,0.00660
GO:0050918,positive chemotaxis,22,3,0.39,401,0.00660,0.00660
GO:0089718,amino acid import across plasma membrane,22,3,0.39,402,0.00660,0.00660
GO:0032722,positive regulation of chemokine product...,43,4,0.76,408,0.00689,0.00689
GO:1901222,regulation of NIK/NF-kappaB signaling,68,5,1.21,412,0.00702,0.00702
GO:0032101,regulation of response to external stimu...,518,24,9.2,115,0.00732,1.3e-05
GO:0098609,cell-cell adhesion,472,28,8.38,28,0.00733,1.3e-08
GO:0140352,export from cell,412,18,7.31,188,0.00735,0.00036
GO:0042542,response to hydrogen peroxide,97,6,1.72,415,0.00746,0.00746
GO:0007492,endoderm development,44,4,0.78,417,0.00748,0.00748
GO:1903203,regulation of oxidative stress-induced n...,23,3,0.41,418,0.00749,0.00749
GO:0002724,regulation of T cell cytokine production,23,3,0.41,419,0.00749,0.00749
GO:0032673,regulation of interleukin-4 production,23,3,0.41,420,0.00749,0.00749
GO:0048608,reproductive structure development,229,10,4.07,425,0.00757,0.00757
GO:0034097,response to cytokine,568,29,10.08,54,0.00796,1.9e-07
GO:0015849,organic acid transport,133,9,2.36,196,0.00802,0.00058
GO:0062197,cellular response to chemical stress,240,13,4.26,186,0.00807,0.00033
GO:0002720,positive regulation of cytokine producti...,45,4,0.8,430,0.00810,0.00810
GO:0007200,phospholipase C-activating G protein-cou...,24,3,0.43,437,0.00845,0.00845
GO:0071634,regulation of transforming growth factor...,24,3,0.43,438,0.00845,0.00845
GO:2000403,positive regulation of lymphocyte migrat...,24,3,0.43,439,0.00845,0.00845
GO:0010573,vascular endothelial growth factor produ...,24,3,0.43,440,0.00845,0.00845
GO:2000273,positive regulation of signaling recepto...,24,3,0.43,441,0.00845,0.00845
GO:0072538,T-helper 17 type immune response,24,3,0.43,442,0.00845,0.00845
GO:0032689,negative regulation of interferon-gamma ...,24,3,0.43,443,0.00845,0.00845
GO:0030154,cell differentiation,2075,67,36.84,48,0.00855,6.5e-08
GO:0060627,regulation of vesicle-mediated transport,310,12,5.5,451,0.00907,0.00907
GO:0071417,cellular response to organonitrogen comp...,349,13,6.2,452,0.00912,0.00912
GO:0030001,metal ion transport,349,13,6.2,453,0.00912,0.00912
GO:0046718,viral entry into host cell,102,6,1.81,458,0.00946,0.00946
GO:0030072,peptide hormone secretion,102,6,1.81,459,0.00946,0.00946
GO:0043616,keratinocyte proliferation,25,3,0.44,461,0.00948,0.00948
GO:1902175,regulation of oxidative stress-induced i...,25,3,0.44,462,0.00948,0.00948
GO:0002696,positive regulation of leukocyte activat...,238,10,4.23,466,0.00980,0.00980
GO:0006090,pyruvate metabolic process,74,5,1.31,467,0.00997,0.00997
GO:0032652,regulation of interleukin-1 production,74,5,1.31,468,0.00997,0.00997
GO:0062014,negative regulation of small molecule me...,48,4,0.85,471,0.01015,0.01015
GO:0003013,circulatory system process,238,13,4.23,184,0.01029,0.00031
GO:0006897,endocytosis,355,13,6.3,479,0.01043,0.01043
GO:0031532,actin cytoskeleton reorganization,75,5,1.33,481,0.01054,0.01054
GO:0051384,response to glucocorticoid,75,5,1.33,482,0.01054,0.01054
GO:0015837,amine transport,26,3,0.46,484,0.01058,0.01058
GO:0034284,response to monosaccharide,105,6,1.86,487,0.01083,0.01083
GO:0006936,muscle contraction,137,7,2.43,488,0.01094,0.01094
GO:0035592,establishment of protein localization to...,171,8,3.04,489,0.01109,0.01109
GO:0009306,protein secretion,171,8,3.04,490,0.01109,0.01109
GO:0006937,regulation of muscle contraction,76,5,1.35,491,0.01112,0.01112
GO:0003018,vascular process in circulatory system,106,6,1.88,493,0.01132,0.01132
GO:0046942,carboxylic acid transport,106,6,1.88,494,0.01132,0.01132
GO:0071692,protein localization to extracellular re...,172,8,3.05,496,0.01146,0.01146
GO:0070848,response to growth factor,360,13,6.39,498,0.01163,0.01163
GO:0007267,cell-cell signaling,686,24,12.18,224,0.01174,0.00099
GO:0007595,lactation,27,3,0.48,499,0.01175,0.01175
GO:1905953,negative regulation of lipid localizatio...,27,3,0.48,500,0.01175,0.01175
GO:0034142,toll-like receptor 4 signaling pathway,27,3,0.48,501,0.01175,0.01175
GO:0033002,muscle cell proliferation,108,6,1.92,503,0.01234,0.01234
GO:0071407,cellular response to organic cyclic comp...,324,12,5.75,505,0.01258,0.01258
GO:0006735,NADH regeneration,10,2,0.18,510,0.01284,0.01284
GO:0014850,response to muscle activity,10,2,0.18,511,0.01284,0.01284
GO:0002251,organ or tissue specific immune response,10,2,0.18,512,0.01284,0.01284
GO:0070486,leukocyte aggregation,10,2,0.18,513,0.01284,0.01284
GO:1901163,regulation of trophoblast cell migration,10,2,0.18,514,0.01284,0.01284
GO:0001975,response to amphetamine,10,2,0.18,515,0.01284,0.01284
GO:0086103,G protein-coupled receptor signaling pat...,10,2,0.18,516,0.01284,0.01284
GO:0002523,leukocyte migration involved in inflamma...,10,2,0.18,517,0.01284,0.01284
GO:0061718,glucose catabolic process to pyruvate,10,2,0.18,518,0.01284,0.01284
GO:2001044,regulation of integrin-mediated signalin...,10,2,0.18,519,0.01284,0.01284
GO:0072683,T cell extravasation,10,2,0.18,520,0.01284,0.01284
GO:0061621,canonical glycolysis,10,2,0.18,521,0.01284,0.01284
GO:0009409,response to cold,28,3,0.5,523,0.01299,0.01299
GO:0140115,export across plasma membrane,28,3,0.5,524,0.01299,0.01299
GO:0061178,regulation of insulin secretion involved...,28,3,0.5,525,0.01299,0.01299
GO:0006940,regulation of smooth muscle contraction,28,3,0.5,526,0.01299,0.01299
GO:0002526,acute inflammatory response,52,4,0.92,531,0.01338,0.01338
GO:0008585,female gonad development,52,4,0.92,532,0.01338,0.01338
GO:0072678,T cell migration,43,6,0.76,154,0.01365,0.00010
GO:0042592,homeostatic process,925,40,16.42,47,0.01379,5.8e-08
GO:0001666,response to hypoxia,178,8,3.16,535,0.01388,0.01388
GO:0009791,post-embryonic development,53,4,0.94,537,0.01427,0.01427
GO:0055072,iron ion homeostasis,53,4,0.94,538,0.01427,0.01427
GO:0035924,cellular response to vascular endothelia...,29,3,0.51,541,0.01431,0.01431
GO:0051216,cartilage development,81,5,1.44,543,0.01438,0.01438
GO:0022408,negative regulation of cell-cell adhesio...,113,6,2.01,548,0.01516,0.01516
GO:0007507,heart development,294,11,5.22,551,0.01550,0.01550
GO:0043373,CD4-positive, alpha-beta T cell lineage ...,11,2,0.2,552,0.01551,0.01551
GO:0061450,trophoblast cell migration,11,2,0.2,553,0.01551,0.01551
GO:0140131,positive regulation of lymphocyte chemot...,11,2,0.2,554,0.01551,0.01551
GO:0044320,cellular response to leptin stimulus,11,2,0.2,555,0.01551,0.01551
