GO.ID,Term,Annotated,Significant,Expected,Rank in Fisher.classic,Fisher.elim,Fisher.classic
GO:0050870,positive regulation of T cell activation,148,12,2.11,52,1.2e-06,1.4e-06
GO:0044794,positive regulation by host of viral pro...,12,4,0.17,89,1.8e-05,1.9e-05
GO:0008347,glial cell migration,26,5,0.37,100,2.8e-05,3.1e-05
GO:0014009,glial cell proliferation,27,5,0.39,106,3.4e-05,3.7e-05
GO:0045087,innate immune response,474,19,6.76,113,3.9e-05,4.8e-05
GO:0051384,response to glucocorticoid,75,7,1.07,123,9.1e-05,0.00010
GO:1905523,positive regulation of macrophage migrat...,18,4,0.26,125,0.00010,0.00011
GO:0055094,response to lipoprotein particle,21,4,0.3,143,0.00020,0.00021
GO:0042026,protein refolding,21,4,0.3,144,0.00020,0.00021
GO:0019886,antigen processing and presentation of e...,23,4,0.33,157,0.00028,0.00030
GO:0071402,cellular response to lipoprotein particl...,23,4,0.33,158,0.00028,0.00030
GO:0001975,response to amphetamine,10,3,0.14,161,0.00032,0.00033
GO:2001256,regulation of store-operated calcium ent...,10,3,0.14,162,0.00032,0.00033
GO:0071277,cellular response to calcium ion,43,5,0.61,165,0.00034,0.00037
GO:0002503,peptide antigen assembly with MHC class ...,11,3,0.16,169,0.00043,0.00045
GO:0001709,cell fate determination,11,3,0.16,170,0.00043,0.00045
GO:0043278,response to morphine,11,3,0.16,171,0.00043,0.00045
GO:0043066,negative regulation of apoptotic process,528,21,7.54,94,0.00047,2.1e-05
GO:0045580,regulation of T cell differentiation,99,7,1.41,185,0.00051,0.00056
GO:0050730,regulation of peptidyl-tyrosine phosphor...,130,8,1.86,187,0.00052,0.00058
GO:0061684,chaperone-mediated autophagy,12,3,0.17,189,0.00057,0.00059
GO:0032680,regulation of tumor necrosis factor prod...,103,7,1.47,194,0.00065,0.00071
GO:0060711,labyrinthine layer development,29,4,0.41,196,0.00071,0.00076
GO:0001774,microglial cell activation,30,4,0.43,200,0.00081,0.00086
GO:1901701,cellular response to oxygen-containing c...,652,20,9.3,214,0.00087,0.00107
GO:0043032,positive regulation of macrophage activa...,14,3,0.2,208,0.00092,0.00096
GO:0045444,fat cell differentiation,143,8,2.04,216,0.00098,0.00109
GO:0002577,regulation of antigen processing and pre...,15,3,0.21,225,0.00114,0.00119
GO:0035767,endothelial cell chemotaxis,14,4,0.2,107,0.00116,3.8e-05
GO:0050671,positive regulation of lymphocyte prolif...,84,6,1.2,233,0.00123,0.00133
GO:0007186,G protein-coupled receptor signaling pat...,261,11,3.72,239,0.00123,0.00140
GO:0032642,regulation of chemokine production,57,5,0.81,235,0.00127,0.00136
GO:0007204,positive regulation of cytosolic calcium...,116,7,1.66,242,0.00131,0.00144
GO:0048844,artery morphogenesis,34,4,0.49,238,0.00132,0.00140
GO:0014912,negative regulation of smooth muscle cel...,16,3,0.23,243,0.00139,0.00145
GO:0050807,regulation of synapse organization,86,6,1.23,247,0.00139,0.00151
GO:0045670,regulation of osteoclast differentiation,35,4,0.5,250,0.00147,0.00156
GO:0061077,chaperone-mediated protein folding,59,5,0.84,252,0.00148,0.00158
GO:0031647,regulation of protein stability,228,10,3.25,259,0.00153,0.00172
GO:0002443,leukocyte mediated immunity,248,13,3.54,117,0.00166,5.9e-05
GO:0050921,positive regulation of chemotaxis,77,7,1.1,127,0.00184,0.00012
GO:0002275,myeloid cell activation involved in immu...,62,5,0.88,265,0.00185,0.00198
GO:0048872,homeostasis of number of cells,188,11,2.68,122,0.00190,8.5e-05
GO:0051385,response to mineralocorticoid,18,3,0.26,267,0.00198,0.00207
GO:0045667,regulation of osteoblast differentiation,63,5,0.9,271,0.00198,0.00212
GO:0071384,cellular response to corticosteroid stim...,38,4,0.54,269,0.00201,0.00212
GO:0050776,regulation of immune response,520,21,7.42,85,0.00206,1.6e-05
GO:0097305,response to alcohol,128,7,1.83,282,0.00232,0.00253
GO:0051602,response to electrical stimulus,19,3,0.27,277,0.00233,0.00243
GO:0090279,regulation of calcium ion import,19,3,0.27,278,0.00233,0.00243
GO:0051155,positive regulation of striated muscle c...,19,3,0.27,279,0.00233,0.00243
GO:0035019,somatic stem cell population maintenance,19,3,0.27,280,0.00233,0.00243
GO:0032653,regulation of interleukin-10 production,40,4,0.57,285,0.00243,0.00257
GO:0002764,immune response-regulating signaling pat...,285,11,4.07,292,0.00247,0.00279
GO:0052548,regulation of endopeptidase activity,245,10,3.5,299,0.00259,0.00291
GO:0097529,myeloid leukocyte migration,126,11,1.8,56,0.00261,1.9e-06
GO:0070839,metal ion export,20,3,0.29,294,0.00271,0.00283
GO:0060443,mammary gland morphogenesis,20,3,0.29,295,0.00271,0.00283
GO:0046634,regulation of alpha-beta T cell activati...,68,5,0.97,301,0.00278,0.00298
GO:0031638,zymogen activation,42,4,0.6,302,0.00291,0.00308
GO:0050795,regulation of behavior,21,3,0.3,304,0.00313,0.00327
GO:0034381,plasma lipoprotein particle clearance,21,3,0.3,305,0.00313,0.00327
GO:0045577,regulation of B cell differentiation,21,3,0.3,306,0.00313,0.00327
GO:0060562,epithelial tube morphogenesis,172,8,2.45,317,0.00315,0.00347
GO:0072678,T cell migration,43,4,0.61,309,0.00318,0.00336
GO:1902904,negative regulation of supramolecular fi...,102,6,1.46,318,0.00331,0.00357
GO:0001894,tissue homeostasis,137,7,1.96,326,0.00339,0.00370
GO:0050918,positive chemotaxis,22,3,0.31,327,0.00359,0.00375
GO:0043085,positive regulation of catalytic activit...,683,19,9.75,340,0.00362,0.00432
GO:0097061,dendritic spine organization,45,4,0.64,331,0.00375,0.00397
GO:0042129,regulation of T cell proliferation,105,6,1.5,334,0.00382,0.00412
GO:0001935,endothelial cell proliferation,74,5,1.06,336,0.00402,0.00429
GO:0009408,response to heat,74,5,1.06,337,0.00402,0.00429
GO:0070371,ERK1 and ERK2 cascade,179,8,2.55,341,0.00402,0.00442
GO:0031529,ruffle organization,46,4,0.66,338,0.00406,0.00430
GO:0033619,membrane protein proteolysis,46,4,0.66,339,0.00406,0.00430
GO:0032801,receptor catabolic process,23,3,0.33,335,0.00408,0.00426
GO:0002699,positive regulation of immune effector p...,142,7,2.03,342,0.00413,0.00450
GO:0071675,regulation of mononuclear cell migration,75,5,1.07,344,0.00425,0.00455
GO:0030316,osteoclast differentiation,59,7,0.84,95,0.00427,2.1e-05
GO:0006959,humoral immune response,108,6,1.54,348,0.00439,0.00473
GO:0009615,response to virus,264,10,3.77,351,0.00442,0.00494
GO:0050866,negative regulation of cell activation,120,8,1.71,163,0.00447,0.00034
GO:0043524,negative regulation of neuron apoptotic ...,76,5,1.08,349,0.00450,0.00481
GO:0002685,regulation of leukocyte migration,121,10,1.73,75,0.00457,9.4e-06
GO:0050678,regulation of epithelial cell proliferat...,183,8,2.61,353,0.00459,0.00505
