GO.ID,Term,Annotated,Significant,Expected,Rank in Fisher.classic,Fisher.elim,Fisher.classic
GO:0002181,cytoplasmic translation,130,22,7.41,17,3.5e-06,6.0e-06
GO:0071345,cellular response to cytokine stimulus,503,51,28.66,52,3.3e-05,7.9e-05
GO:0045766,positive regulation of angiogenesis,82,15,4.67,47,4.9e-05,7.2e-05
GO:0010628,positive regulation of gene expression,666,72,37.94,3,6.6e-05,2.0e-07
GO:0000387,spliceosomal snRNP assembly,30,8,1.71,79,0.00020,0.00025
GO:0090085,regulation of protein deubiquitination,11,5,0.63,76,0.00020,0.00024
GO:0060562,epithelial tube morphogenesis,172,22,9.8,104,0.00029,0.00045
GO:2001238,positive regulation of extrinsic apoptot...,40,9,2.28,101,0.00032,0.00041
GO:0043123,positive regulation of I-kappaB kinase/N...,142,19,8.09,127,0.00041,0.00062
GO:0010950,positive regulation of endopeptidase act...,121,17,6.89,133,0.00046,0.00068
GO:0043065,positive regulation of apoptotic process,333,40,18.97,25,0.00047,1.1e-05
GO:0032743,positive regulation of interleukin-2 pro...,26,7,1.48,117,0.00047,0.00057
GO:0051051,negative regulation of transport,237,26,13.5,189,0.00094,0.00151
GO:0034976,response to endoplasmic reticulum stress,203,23,11.57,204,0.00118,0.00182
GO:0006096,glycolytic process,57,10,3.25,192,0.00124,0.00159
GO:0045892,negative regulation of transcription, DN...,717,60,40.85,247,0.00137,0.00298
GO:0050821,protein stabilization,145,18,8.26,220,0.00141,0.00204
GO:0000027,ribosomal large subunit assembly,23,6,1.31,195,0.00144,0.00171
GO:0032869,cellular response to insulin stimulus,134,17,7.63,223,0.00149,0.00213
GO:1903204,negative regulation of oxidative stress-...,16,5,0.91,198,0.00151,0.00175
GO:1903599,positive regulation of autophagy of mito...,10,4,0.57,211,0.00165,0.00186
GO:0001975,response to amphetamine,10,4,0.57,212,0.00165,0.00186
GO:0043331,response to dsRNA,32,7,1.82,227,0.00179,0.00216
