GO.ID,Term,Annotated,Significant,Expected,Rank in Fisher.classic,Fisher.elim,Fisher.classic
GO:0010043,response to zinc ion,20,5,0.13,1,1.5e-07,1.7e-07
GO:0071280,cellular response to copper ion,16,4,0.11,3,3.0e-06,3.2e-06
GO:0010743,regulation of macrophage derived foam ce...,17,4,0.11,4,3.9e-06,4.2e-06
GO:0006882,cellular zinc ion homeostasis,20,4,0.13,5,7.8e-06,8.3e-06
GO:0071276,cellular response to cadmium ion,24,4,0.16,15,1.7e-05,1.8e-05
GO:0045926,negative regulation of growth,134,7,0.89,18,2.7e-05,3.0e-05
GO:0010885,regulation of cholesterol storage,14,3,0.09,24,9.6e-05,0.00010
GO:0060986,endocrine hormone secretion,20,3,0.13,34,0.00029,0.00031
GO:0071345,cellular response to cytokine stimulus,503,11,3.33,36,0.00040,0.00046
GO:0030224,monocyte differentiation,24,3,0.16,38,0.00051,0.00053
GO:0046888,negative regulation of hormone secretion,25,3,0.17,41,0.00057,0.00060
GO:0022612,gland morphogenesis,61,4,0.4,44,0.00069,0.00073
GO:0015909,long-chain fatty acid transport,30,3,0.2,51,0.00099,0.00104
GO:0001541,ovarian follicle development,31,3,0.21,53,0.00109,0.00115
GO:0045670,regulation of osteoclast differentiation,35,3,0.23,60,0.00156,0.00164
GO:0098754,detoxification,79,4,0.52,63,0.00181,0.00192
GO:0050872,white fat cell differentiation,10,2,0.07,64,0.00188,0.00194
GO:0010544,negative regulation of platelet activati...,10,2,0.07,65,0.00188,0.00194
GO:0051781,positive regulation of cell division,39,3,0.26,68,0.00214,0.00224
GO:0034104,negative regulation of tissue remodeling,11,2,0.07,70,0.00229,0.00236
GO:0042953,lipoprotein transport,12,2,0.08,77,0.00273,0.00283
GO:0071312,cellular response to alkaloid,13,2,0.09,80,0.00322,0.00332
GO:1900117,regulation of execution phase of apoptos...,13,2,0.09,81,0.00322,0.00332
GO:0051250,negative regulation of lymphocyte activa...,95,4,0.63,83,0.00354,0.00376
GO:0045649,regulation of macrophage differentiation,14,2,0.09,84,0.00374,0.00386
GO:0044703,multi-organism reproductive process,98,4,0.65,85,0.00396,0.00421
GO:0030728,ovulation,15,2,0.1,86,0.00429,0.00444
GO:0042476,odontogenesis,50,3,0.33,87,0.00435,0.00456
GO:0044706,multi-multicellular organism process,101,4,0.67,88,0.00441,0.00469
GO:0046887,positive regulation of hormone secretion,53,3,0.35,93,0.00513,0.00537
GO:0051154,negative regulation of striated muscle c...,17,2,0.11,95,0.00551,0.00570
GO:0010888,negative regulation of lipid storage,17,2,0.11,96,0.00551,0.00570
GO:0010875,positive regulation of cholesterol efflu...,17,2,0.11,97,0.00551,0.00570
GO:0042326,negative regulation of phosphorylation,246,6,1.63,99,0.00556,0.00604
GO:2000272,negative regulation of signaling recepto...,18,2,0.12,102,0.00618,0.00638
GO:0010862,positive regulation of pathway-restricte...,18,2,0.12,103,0.00618,0.00638
GO:0043065,positive regulation of apoptotic process,333,7,2.21,104,0.00618,0.00678
GO:0030003,cellular cation homeostasis,292,10,1.94,16,0.00644,2.2e-05
GO:0022408,negative regulation of cell-cell adhesio...,113,4,0.75,106,0.00656,0.00696
GO:0055074,calcium ion homeostasis,186,5,1.23,116,0.00760,0.00815
GO:0032496,response to lipopolysaccharide,186,5,1.23,117,0.00760,0.00815
GO:0045639,positive regulation of myeloid cell diff...,64,3,0.42,120,0.00866,0.00907
GO:0032673,regulation of interleukin-4 production,23,2,0.15,125,0.01000,0.01033
GO:0071402,cellular response to lipoprotein particl...,23,2,0.15,126,0.01000,0.01033
GO:0050727,regulation of inflammatory response,201,5,1.33,132,0.01043,0.01118
GO:0032649,regulation of interferon-gamma productio...,69,3,0.46,130,0.01064,0.01114
GO:0032609,interferon-gamma production,69,3,0.46,131,0.01064,0.01114
GO:0032689,negative regulation of interferon-gamma ...,24,2,0.16,133,0.01086,0.01122
GO:2001239,regulation of extrinsic apoptotic signal...,25,2,0.17,141,0.01176,0.01214
GO:0050868,negative regulation of T cell activation,73,3,0.48,147,0.01240,0.01297
GO:0045834,positive regulation of lipid metabolic p...,74,3,0.49,150,0.01286,0.01346
GO:0008584,male gonad development,75,3,0.5,154,0.01334,0.01395
GO:0002762,negative regulation of myeloid leukocyte...,27,2,0.18,156,0.01364,0.01408
GO:0046546,development of primary male sexual chara...,76,3,0.5,159,0.01382,0.01446
GO:0014070,response to organic cyclic compound,486,8,3.22,164,0.01423,0.01566
GO:0001933,negative regulation of protein phosphory...,218,5,1.45,163,0.01444,0.01545
GO:0006469,negative regulation of protein kinase ac...,144,4,0.95,166,0.01505,0.01592
GO:1903038,negative regulation of leukocyte cell-ce...,79,3,0.52,168,0.01533,0.01604
GO:0055088,lipid homeostasis,82,3,0.54,174,0.01693,0.01771
GO:0008630,intrinsic apoptotic signaling pathway in...,82,3,0.54,175,0.01693,0.01771
GO:0050873,brown fat cell differentiation,31,2,0.21,177,0.01776,0.01834
GO:0097242,amyloid-beta clearance,31,2,0.21,178,0.01776,0.01834
GO:0046661,male sex differentiation,84,3,0.56,182,0.01805,0.01887
GO:0045453,bone resorption,32,2,0.21,183,0.01887,0.01948
GO:0007264,small GTPase mediated signal transductio...,322,6,2.13,187,0.01928,0.02080
GO:0001890,placenta development,87,3,0.58,186,0.01980,0.02070
GO:0002763,positive regulation of myeloid leukocyte...,33,2,0.22,185,0.02000,0.02064
GO:0003006,developmental process involved in reprod...,472,10,3.13,52,0.02023,0.00110
GO:1904705,regulation of vascular associated smooth...,34,2,0.23,191,0.02116,0.02184
GO:0033673,negative regulation of kinase activity,160,4,1.06,194,0.02131,0.02252
GO:1990874,vascular associated smooth muscle cell p...,35,2,0.23,195,0.02235,0.02306
GO:0061180,mammary gland epithelium development,35,2,0.23,196,0.02235,0.02306
GO:0051240,positive regulation of multicellular org...,745,10,4.94,205,0.02339,0.02605
GO:1901568,fatty acid derivative metabolic process,36,2,0.24,199,0.02356,0.02432
GO:0051057,positive regulation of small GTPase medi...,36,2,0.24,200,0.02356,0.02432
GO:0007565,female pregnancy,94,3,0.62,201,0.02424,0.02532
GO:0044070,regulation of anion transport,37,2,0.25,202,0.02481,0.02560
GO:0050435,amyloid-beta metabolic process,37,2,0.25,203,0.02481,0.02560
GO:0097006,regulation of plasma lipoprotein particl...,37,2,0.25,204,0.02481,0.02560
GO:0072503,cellular divalent inorganic cation homeo...,201,8,1.33,20,0.02543,5.5e-05
GO:0060395,SMAD protein signal transduction,38,2,0.25,206,0.02607,0.02690
GO:0010823,negative regulation of mitochondrion org...,38,2,0.25,207,0.02607,0.02690
GO:0031122,cytoplasmic microtubule organization,39,2,0.26,210,0.02737,0.02824
GO:0031099,regeneration,99,3,0.66,213,0.02772,0.02894
