GO.ID,Term,Annotated,Significant,Expected,Rank in Fisher.classic,Fisher.elim,Fisher.classic
GO:0006120,mitochondrial electron transport, NADH t...,42,17,2.25,12,1.3e-11,2.0e-11
GO:0032981,mitochondrial respiratory chain complex ...,52,17,2.79,13,6.7e-10,1.1e-09
GO:0042776,proton motive force-driven mitochondrial...,16,8,0.86,18,5.5e-07,6.8e-07
GO:0045454,cell redox homeostasis,30,10,1.61,23,2.0e-06,2.5e-06
GO:0034975,protein folding in endoplasmic reticulum,10,6,0.54,29,3.9e-06,4.6e-06
GO:0061077,chaperone-mediated protein folding,59,13,3.16,47,1.0e-05,1.4e-05
GO:0042775,mitochondrial ATP synthesis coupled elec...,72,26,3.86,8,1.3e-05,2.4e-15
GO:1902600,proton transmembrane transport,70,13,3.75,76,7.0e-05,9.4e-05
GO:1903599,positive regulation of autophagy of mito...,10,5,0.54,81,8.5e-05,9.8e-05
GO:0046718,viral entry into host cell,102,16,5.47,93,9.1e-05,0.00013
GO:0071222,cellular response to lipopolysaccharide,125,18,6.7,98,0.00011,0.00015
GO:0000387,spliceosomal snRNP assembly,30,8,1.61,99,0.00013,0.00016
GO:0006954,inflammatory response,408,40,21.87,110,0.00013,0.00024
GO:0006465,signal peptide processing,11,5,0.59,103,0.00015,0.00017
GO:0019430,removal of superoxide radicals,11,5,0.59,104,0.00015,0.00017
GO:0043524,negative regulation of neuron apoptotic ...,76,13,4.07,107,0.00017,0.00022
GO:0030970,retrograde protein transport, ER to cyto...,25,7,1.34,117,0.00024,0.00029
GO:0006620,post-translational protein targeting to ...,12,5,0.64,115,0.00025,0.00028
GO:1903715,regulation of aerobic respiration,26,7,1.39,121,0.00032,0.00038
GO:0072678,T cell migration,43,9,2.3,133,0.00036,0.00045
GO:0045766,positive regulation of angiogenesis,82,13,4.4,136,0.00037,0.00048
GO:1904874,positive regulation of telomerase RNA lo...,13,5,0.7,128,0.00038,0.00044
GO:0010954,positive regulation of protein processin...,13,5,0.7,129,0.00038,0.00044
GO:0071404,cellular response to low-density lipopro...,13,5,0.7,130,0.00038,0.00044
GO:0070098,chemokine-mediated signaling pathway,37,8,1.98,151,0.00061,0.00074
GO:0071806,protein transmembrane transport,47,9,2.52,159,0.00072,0.00089
GO:0006096,glycolytic process,57,10,3.06,163,0.00076,0.00096
GO:0033238,regulation of cellular amine metabolic p...,15,5,0.8,161,0.00082,0.00093
GO:2000379,positive regulation of reactive oxygen s...,48,9,2.57,165,0.00085,0.00104
GO:0002704,negative regulation of leukocyte mediate...,39,8,2.09,167,0.00088,0.00107
GO:0006816,calcium ion transport,186,21,9.97,174,0.00090,0.00130
GO:0098869,cellular oxidant detoxification,61,14,3.27,27,0.00108,3.9e-06
GO:0001778,plasma membrane repair,16,5,0.86,171,0.00113,0.00129
GO:0042417,dopamine metabolic process,16,5,0.86,172,0.00113,0.00129
GO:0051603,proteolysis involved in cellular protein...,577,53,30.93,95,0.00123,0.00013
GO:0018208,peptidyl-proline modification,41,8,2.2,185,0.00125,0.00150
GO:1904851,positive regulation of establishment of ...,10,4,0.54,179,0.00130,0.00145
GO:0072677,eosinophil migration,10,4,0.54,180,0.00130,0.00145
GO:0001975,response to amphetamine,10,4,0.54,181,0.00130,0.00145
GO:0006874,cellular calcium ion homeostasis,180,20,9.65,208,0.00145,0.00204
GO:1902175,regulation of oxidative stress-induced i...,25,6,1.34,201,0.00166,0.00193
GO:0010941,regulation of cell death,975,89,52.26,17,0.00167,6.2e-07
GO:0043065,positive regulation of apoptotic process,333,31,17.85,232,0.00172,0.00269
GO:0030301,cholesterol transport,43,8,2.3,209,0.00172,0.00207
GO:0010324,membrane invagination,64,10,3.43,221,0.00192,0.00238
GO:0043278,response to morphine,11,4,0.59,211,0.00196,0.00218
GO:1904871,positive regulation of protein localizat...,11,4,0.59,212,0.00196,0.00218
GO:0002693,positive regulation of cellular extravas...,11,4,0.59,213,0.00196,0.00218
GO:0035437,maintenance of protein localization in e...,11,4,0.59,214,0.00196,0.00218
GO:0051881,regulation of mitochondrial membrane pot...,54,9,2.89,226,0.00202,0.00247
GO:0002548,monocyte chemotaxis,35,7,1.88,229,0.00215,0.00254
GO:0042743,hydrogen peroxide metabolic process,27,6,1.45,238,0.00254,0.00294
GO:0006739,NADP metabolic process,27,6,1.45,239,0.00254,0.00294
GO:0043500,muscle adaptation,56,9,3,256,0.00262,0.00319
GO:0001909,leukocyte mediated cytotoxicity,78,11,4.18,259,0.00270,0.00338
GO:2001243,negative regulation of intrinsic apoptot...,78,11,4.18,260,0.00270,0.00338
GO:0010829,negative regulation of glucose transmemb...,12,4,0.64,249,0.00281,0.00313
GO:0045039,protein insertion into mitochondrial inn...,12,4,0.64,250,0.00281,0.00313
GO:0071542,dopaminergic neuron differentiation,12,4,0.64,251,0.00281,0.00313
GO:0046761,viral budding from plasma membrane,12,4,0.64,252,0.00281,0.00313
GO:0071456,cellular response to hypoxia,90,12,4.82,262,0.00285,0.00362
GO:0031623,receptor internalization,61,12,3.27,80,0.00297,9.8e-05
GO:1901998,toxin transport,28,6,1.5,261,0.00309,0.00357
GO:0039702,viral budding via host ESCRT complex,20,5,1.07,265,0.00337,0.00382
GO:1902042,negative regulation of extrinsic apoptot...,20,5,1.07,266,0.00337,0.00382
GO:0018279,protein N-linked glycosylation via aspar...,20,5,1.07,267,0.00337,0.00382
GO:1904035,regulation of epithelial cell apoptotic ...,48,8,2.57,275,0.00355,0.00424
