GO.ID,Term,Annotated,Significant,Expected,Rank in Fisher.classic,Fisher.elim,Fisher.classic
GO:0045087,innate immune response,474,26,6.29,7,1.8e-08,1.2e-09
GO:0006958,complement activation, classical pathway,27,7,0.36,12,4.3e-08,6.1e-08
GO:0150146,cell junction disassembly,15,4,0.2,30,3.6e-05,4.4e-05
GO:1901216,positive regulation of neuron death,60,6,0.8,47,0.00013,0.00018
GO:0043277,apoptotic cell clearance,31,6,0.41,20,0.00014,3.6e-06
GO:0055094,response to lipoprotein particle,21,4,0.28,48,0.00015,0.00018
GO:0071402,cellular response to lipoprotein particl...,23,4,0.3,53,0.00021,0.00026
GO:0035457,cellular response to interferon-alpha,10,3,0.13,56,0.00025,0.00030
GO:0050872,white fat cell differentiation,10,3,0.13,57,0.00025,0.00030
GO:0007166,cell surface receptor signaling pathway,1404,33,18.62,87,0.00050,0.00129
GO:0071345,cellular response to cytokine stimulus,503,19,6.67,36,0.00057,6.2e-05
GO:0018149,peptide cross-linking,13,3,0.17,70,0.00059,0.00068
GO:0097242,amyloid-beta clearance,31,4,0.41,73,0.00070,0.00084
GO:0042180,cellular ketone metabolic process,113,7,1.5,78,0.00073,0.00098
GO:0048469,cell maturation,82,6,1.09,77,0.00074,0.00096
GO:1900225,regulation of NLRP3 inflammasome complex...,14,3,0.19,74,0.00074,0.00086
GO:0043032,positive regulation of macrophage activa...,14,3,0.19,75,0.00074,0.00086
GO:0030449,regulation of complement activation,14,3,0.19,76,0.00074,0.00086
GO:0007155,cell adhesion,757,21,10.04,99,0.00087,0.00168
GO:0002577,regulation of antigen processing and pre...,15,3,0.2,82,0.00092,0.00106
GO:0008207,C21-steroid hormone metabolic process,15,3,0.2,83,0.00092,0.00106
GO:0042981,regulation of apoptotic process,870,26,11.54,42,0.00103,0.00013
GO:0048143,astrocyte activation,16,3,0.21,88,0.00112,0.00130
GO:0051607,defense response to virus,197,9,2.61,100,0.00119,0.00168
GO:0045671,negative regulation of osteoclast differ...,17,3,0.23,97,0.00135,0.00156
GO:2000272,negative regulation of signaling recepto...,18,3,0.24,104,0.00160,0.00185
GO:0043268,positive regulation of potassium ion tra...,18,3,0.24,105,0.00160,0.00185
GO:0030195,negative regulation of blood coagulation,19,3,0.25,113,0.00189,0.00217
GO:0033993,response to lipid,488,15,6.47,130,0.00192,0.00313
GO:0015909,long-chain fatty acid transport,30,5,0.4,33,0.00210,5.2e-05
GO:0002526,acute inflammatory response,52,6,0.69,38,0.00210,7.8e-05
GO:0043537,negative regulation of blood vessel endo...,20,3,0.27,124,0.00220,0.00253
GO:0009617,response to bacterium,333,15,4.42,35,0.00222,5.7e-05
GO:0006910,phagocytosis, recognition,21,3,0.28,128,0.00254,0.00292
GO:0016525,negative regulation of angiogenesis,45,4,0.6,138,0.00288,0.00344
GO:0032602,chemokine production,58,6,0.77,43,0.00319,0.00015
GO:1903580,positive regulation of ATP metabolic pro...,23,3,0.3,142,0.00332,0.00381
GO:0071216,cellular response to biotic stimulus,154,9,2.04,55,0.00338,0.00029
GO:2000379,positive regulation of reactive oxygen s...,48,4,0.64,154,0.00365,0.00435
GO:0007200,phospholipase C-activating G protein-cou...,24,3,0.32,151,0.00375,0.00432
GO:0019748,secondary metabolic process,24,3,0.32,152,0.00375,0.00432
GO:0032689,negative regulation of interferon-gamma ...,24,3,0.32,153,0.00375,0.00432
GO:0051591,response to cAMP,49,4,0.65,157,0.00393,0.00469
GO:0045088,regulation of innate immune response,152,7,2.02,166,0.00401,0.00526
GO:0001937,negative regulation of endothelial cell ...,25,3,0.33,161,0.00423,0.00486
GO:0007204,positive regulation of cytosolic calcium...,116,6,1.54,172,0.00435,0.00553
GO:1901016,regulation of potassium ion transmembran...,26,3,0.34,168,0.00473,0.00543
GO:0030890,positive regulation of B cell proliferat...,26,3,0.34,169,0.00473,0.00543
GO:0009620,response to fungus,26,3,0.34,170,0.00473,0.00543
GO:0002683,negative regulation of immune system pro...,235,13,3.12,27,0.00484,2.2e-05
GO:0050866,negative regulation of cell activation,120,6,1.59,185,0.00513,0.00651
GO:1900542,regulation of purine nucleotide metaboli...,53,4,0.7,181,0.00522,0.00621
GO:0034142,toll-like receptor 4 signaling pathway,27,3,0.36,179,0.00527,0.00605
GO:1905953,negative regulation of lipid localizatio...,27,3,0.36,180,0.00527,0.00605
GO:1904646,cellular response to amyloid-beta,28,3,0.37,190,0.00585,0.00671
GO:0002504,antigen processing and presentation of p...,28,3,0.37,191,0.00585,0.00671
GO:0050829,defense response to Gram-negative bacter...,28,3,0.37,192,0.00585,0.00671
GO:0070661,leukocyte proliferation,193,10,2.56,60,0.00590,0.00035
GO:0010951,negative regulation of endopeptidase act...,124,6,1.64,200,0.00601,0.00761
GO:0097530,granulocyte migration,88,5,1.17,199,0.00615,0.00756
GO:1901700,response to oxygen-containing compound,894,26,11.85,50,0.00620,0.00021
GO:0006954,inflammatory response,408,19,5.41,19,0.00666,3.2e-06
GO:0007568,aging,90,5,1.19,217,0.00676,0.00830
GO:0001774,microglial cell activation,30,3,0.4,213,0.00711,0.00815
GO:0032890,regulation of organic acid transport,30,3,0.4,214,0.00711,0.00815
GO:0072593,reactive oxygen species metabolic proces...,142,9,1.88,45,0.00718,0.00016
GO:0150078,positive regulation of neuroinflammatory...,10,2,0.13,206,0.00732,0.00806
GO:0015911,long-chain fatty acid import across plas...,10,2,0.13,207,0.00732,0.00806
GO:0002524,hypersensitivity,10,2,0.13,208,0.00732,0.00806
GO:0043652,engulfment of apoptotic cell,10,2,0.13,209,0.00732,0.00806
GO:0010889,regulation of sequestering of triglyceri...,10,2,0.13,210,0.00732,0.00806
GO:0010667,negative regulation of cardiac muscle ce...,10,2,0.13,211,0.00732,0.00806
GO:0098581,detection of external biotic stimulus,10,2,0.13,212,0.00732,0.00806
GO:0034764,positive regulation of transmembrane tra...,92,5,1.22,227,0.00741,0.00908
GO:0071219,cellular response to molecule of bacteri...,130,6,1.72,233,0.00752,0.00950
