GO.ID,Term,Annotated,Significant,Expected,Rank in Fisher.classic,Fisher.elim,Fisher.classic
GO:0071222,cellular response to lipopolysaccharide,125,22,6.07,62,2.8e-06,2.1e-07
GO:0045766,positive regulation of angiogenesis,82,14,3.98,170,3.3e-05,4.9e-05
GO:0009791,post-embryonic development,53,11,2.57,173,3.6e-05,5.0e-05
GO:0071356,cellular response to tumor necrosis fact...,143,22,6.94,95,8.6e-05,2.2e-06
GO:0010628,positive regulation of gene expression,666,64,32.33,65,0.00016,2.3e-07
GO:0008285,negative regulation of cell population p...,414,41,20.1,138,0.00018,2.0e-05
GO:0061418,regulation of transcription from RNA pol...,13,5,0.63,236,0.00024,0.00028
GO:0045624,positive regulation of T-helper cell dif...,13,5,0.63,237,0.00024,0.00028
GO:0070423,nucleotide-binding oligomerization domai...,20,6,0.97,242,0.00027,0.00033
GO:1900745,positive regulation of p38MAPK cascade,20,6,0.97,243,0.00027,0.00033
GO:0000122,negative regulation of transcription by ...,515,43,25,287,0.00028,0.00061
GO:1901222,regulation of NIK/NF-kappaB signaling,68,13,3.3,150,0.00034,2.6e-05
GO:1904752,regulation of vascular associated smooth...,14,5,0.68,264,0.00036,0.00042
GO:0045944,positive regulation of transcription by ...,675,55,32.77,224,0.00038,0.00020
GO:0045087,innate immune response,474,46,23.01,122,0.00041,1.0e-05
GO:0030335,positive regulation of cell migration,323,30,15.68,297,0.00043,0.00078
GO:0043547,positive regulation of GTPase activity,167,19,8.11,290,0.00043,0.00067
GO:0014070,response to organic cyclic compound,486,45,23.59,159,0.00044,4.2e-05
GO:0038061,NIK/NF-kappaB signaling,84,18,4.08,55,0.00065,1.2e-07
GO:0050727,regulation of inflammatory response,201,21,9.76,321,0.00069,0.00110
GO:0071375,cellular response to peptide hormone sti...,176,19,8.54,340,0.00083,0.00128
GO:0071347,cellular response to interleukin-1,64,10,3.11,333,0.00091,0.00120
GO:0034341,response to interferon-gamma,99,13,4.81,337,0.00091,0.00127
GO:0019081,viral translation,17,5,0.83,330,0.00098,0.00116
GO:0006413,translational initiation,100,13,4.85,348,0.00100,0.00139
GO:0071385,cellular response to glucocorticoid stim...,34,7,1.65,336,0.00101,0.00125
GO:0001776,leukocyte homeostasis,61,12,2.96,156,0.00115,4.0e-05
GO:0032743,positive regulation of interleukin-2 pro...,26,6,1.26,352,0.00124,0.00150
GO:0009653,anatomical structure morphogenesis,1338,104,64.95,85,0.00129,1.4e-06
GO:0002726,positive regulation of T cell cytokine p...,18,5,0.87,358,0.00131,0.00154
GO:0030279,negative regulation of ossification,18,5,0.87,359,0.00131,0.00154
