GO.ID,Term,Annotated,Significant,Expected,Rank in Fisher.classic,Fisher.elim,Fisher.classic
GO:0051085,chaperone cofactor-dependent protein ref...,29,8,0.67,11,2.0e-07,2.5e-07
GO:0006986,response to unfolded protein,112,14,2.59,14,4.5e-06,3.8e-07
GO:0010951,negative regulation of endopeptidase act...,124,13,2.87,37,5.4e-06,7.4e-06
GO:0042026,protein refolding,21,6,0.49,36,5.8e-06,6.9e-06
GO:0001975,response to amphetamine,10,4,0.23,70,5.3e-05,5.9e-05
GO:0043652,engulfment of apoptotic cell,10,4,0.23,71,5.3e-05,5.9e-05
GO:0071407,cellular response to organic cyclic comp...,324,19,7.5,101,0.00018,0.00026
GO:1901701,cellular response to oxygen-containing c...,652,30,15.09,106,0.00021,0.00035
GO:0090083,regulation of inclusion body assembly,15,4,0.35,105,0.00031,0.00035
GO:0009408,response to heat,74,10,1.71,40,0.00041,9.0e-06
GO:0050776,regulation of immune response,520,29,12.04,47,0.00043,1.5e-05
GO:0009968,negative regulation of signal transducti...,716,31,16.57,130,0.00048,0.00079
GO:2000026,regulation of multicellular organismal d...,679,34,15.72,54,0.00055,2.5e-05
GO:0045087,innate immune response,474,23,10.97,133,0.00059,0.00089
GO:0007155,cell adhesion,757,39,17.52,26,0.00080,2.9e-06
GO:0051240,positive regulation of multicellular org...,745,40,17.25,17,0.00083,7.3e-07
GO:0045597,positive regulation of cell differentiat...,457,22,10.58,145,0.00087,0.00127
GO:0030595,leukocyte chemotaxis,131,10,3.03,143,0.00090,0.00112
GO:0009612,response to mechanical stimulus,109,9,2.52,144,0.00092,0.00113
GO:0071243,cellular response to arsenic-containing ...,21,4,0.49,149,0.00122,0.00136
GO:0032496,response to lipopolysaccharide,186,12,4.31,155,0.00126,0.00161
GO:0002230,positive regulation of defense response ...,22,4,0.51,159,0.00147,0.00163
GO:0032660,regulation of interleukin-17 production,22,4,0.51,160,0.00147,0.00163
GO:0001819,positive regulation of cytokine producti...,291,19,6.74,72,0.00152,6.3e-05
GO:0090316,positive regulation of intracellular pro...,118,9,2.73,174,0.00162,0.00198
GO:0032570,response to progesterone,23,4,0.53,173,0.00175,0.00194
GO:0008045,motor neuron axon guidance,11,3,0.25,168,0.00176,0.00191
GO:0002468,dendritic cell antigen processing and pr...,11,3,0.25,169,0.00176,0.00191
GO:0043278,response to morphine,11,3,0.25,170,0.00176,0.00191
GO:0008210,estrogen metabolic process,11,3,0.25,171,0.00176,0.00191
GO:1903533,regulation of protein targeting,57,6,1.32,182,0.00194,0.00225
GO:0071396,cellular response to lipid,336,17,7.78,191,0.00201,0.00272
GO:0045580,regulation of T cell differentiation,99,8,2.29,184,0.00203,0.00243
GO:0031668,cellular response to extracellular stimu...,171,11,3.96,189,0.00204,0.00255
GO:0060048,cardiac muscle contraction,58,6,1.34,187,0.00213,0.00246
GO:0007585,respiratory gaseous exchange by respirat...,40,5,0.93,186,0.00216,0.00244
GO:0061684,chaperone-mediated autophagy,12,3,0.28,188,0.00230,0.00250
GO:0030097,hemopoiesis,543,30,12.57,46,0.00241,1.2e-05
GO:0048513,animal organ development,1725,69,39.93,27,0.00242,2.9e-06
GO:0045598,regulation of fat cell differentiation,80,7,1.85,193,0.00245,0.00287
GO:0034620,cellular response to unfolded protein,81,7,1.88,198,0.00263,0.00308
GO:0042102,positive regulation of T cell proliferat...,61,6,1.41,199,0.00275,0.00318
GO:0007165,signal transduction,2848,96,65.93,57,0.00276,3.0e-05
GO:0007186,G protein-coupled receptor signaling pat...,261,14,6.04,210,0.00293,0.00380
GO:0046716,muscle cell cellular homeostasis,13,3,0.3,201,0.00295,0.00320
GO:0002274,myeloid leukocyte activation,149,14,3.45,45,0.00296,1.2e-05
GO:0032722,positive regulation of chemokine product...,43,5,1,203,0.00298,0.00337
GO:0032870,cellular response to hormone stimulus,351,17,8.13,216,0.00317,0.00425
GO:0006909,phagocytosis,169,14,3.91,65,0.00333,4.9e-05
GO:1901699,cellular response to nitrogen compound,384,18,8.89,224,0.00343,0.00464
GO:1900034,regulation of cellular response to heat,14,3,0.32,211,0.00369,0.00400
GO:0035767,endothelial cell chemotaxis,14,3,0.32,212,0.00369,0.00400
GO:0006576,cellular biogenic amine metabolic proces...,46,5,1.06,219,0.00401,0.00454
GO:0002260,lymphocyte homeostasis,46,5,1.06,220,0.00401,0.00454
GO:0032680,regulation of tumor necrosis factor prod...,103,10,2.38,88,0.00409,0.00016
GO:1990845,adaptive thermogenesis,88,7,2.04,230,0.00419,0.00490
GO:0061077,chaperone-mediated protein folding,59,12,1.37,3,0.00419,1.0e-08
GO:0051241,negative regulation of multicellular org...,485,25,11.23,95,0.00441,0.00021
GO:0002253,activation of immune response,217,12,5.02,238,0.00452,0.00567
GO:0045932,negative regulation of muscle contractio...,15,3,0.35,232,0.00453,0.00491
GO:0001933,negative regulation of protein phosphory...,218,12,5.05,242,0.00469,0.00588
GO:2000379,positive regulation of reactive oxygen s...,48,5,1.11,237,0.00483,0.00545
GO:0044092,negative regulation of molecular functio...,644,34,14.91,38,0.00502,8.2e-06
GO:0032649,regulation of interferon-gamma productio...,69,6,1.6,240,0.00510,0.00586
GO:0043066,negative regulation of apoptotic process,528,22,12.22,265,0.00525,0.00733
