GO.ID,Term,Annotated,Significant,Expected,Rank in Fisher.classic,Fisher.elim,Fisher.classic
GO:0071276,cellular response to cadmium ion,24,8,0.39,14,2.2e-09,2.7e-09
GO:0010043,response to zinc ion,20,7,0.32,21,1.6e-08,1.9e-08
GO:0071280,cellular response to copper ion,16,5,0.26,99,3.8e-06,4.3e-06
GO:0035914,skeletal muscle cell differentiation,31,6,0.5,125,8.2e-06,9.6e-06
GO:0097242,amyloid-beta clearance,31,6,0.5,126,8.2e-06,9.6e-06
GO:0006882,cellular zinc ion homeostasis,20,5,0.32,138,1.3e-05,1.5e-05
GO:0045672,positive regulation of osteoclast differ...,11,4,0.18,150,1.9e-05,2.2e-05
GO:0071404,cellular response to low-density lipopro...,13,4,0.21,167,4.1e-05,4.6e-05
GO:0032496,response to lipopolysaccharide,186,12,3.01,175,4.3e-05,5.6e-05
GO:0050729,positive regulation of inflammatory resp...,83,8,1.34,179,5.2e-05,6.3e-05
GO:0034381,plasma lipoprotein particle clearance,21,6,0.34,57,7.4e-05,8.1e-07
GO:0045940,positive regulation of steroid metabolic...,15,4,0.24,192,7.6e-05,8.5e-05
GO:0051240,positive regulation of multicellular org...,745,35,12.06,18,0.00011,9.0e-09
GO:1902895,positive regulation of miRNA transcripti...,32,5,0.52,220,0.00014,0.00016
GO:0006953,acute-phase response,18,4,0.29,223,0.00016,0.00018
GO:2000272,negative regulation of signaling recepto...,18,4,0.29,224,0.00016,0.00018
GO:0045597,positive regulation of cell differentiat...,457,24,7.39,45,0.00021,3.9e-07
GO:0098754,detoxification,79,7,1.28,258,0.00026,0.00031
GO:0050728,negative regulation of inflammatory resp...,80,7,1.29,260,0.00029,0.00034
GO:0043065,positive regulation of apoptotic process,333,15,5.39,269,0.00029,0.00039
GO:0044070,regulation of anion transport,37,5,0.6,259,0.00029,0.00033
GO:1902533,positive regulation of intracellular sig...,582,26,9.42,86,0.00032,2.7e-06
GO:0060395,SMAD protein signal transduction,38,5,0.61,265,0.00033,0.00037
GO:0070374,positive regulation of ERK1 and ERK2 cas...,108,8,1.75,273,0.00033,0.00040
GO:1901701,cellular response to oxygen-containing c...,652,26,10.55,149,0.00035,2.1e-05
GO:0002274,myeloid leukocyte activation,149,13,2.41,58,0.00036,9.8e-07
GO:0051050,positive regulation of transport,483,21,7.82,162,0.00036,4.1e-05
GO:0051241,negative regulation of multicellular org...,485,27,7.85,22,0.00041,1.9e-08
GO:0050872,white fat cell differentiation,10,3,0.16,284,0.00045,0.00049
GO:0007186,G protein-coupled receptor signaling pat...,261,15,4.22,151,0.00046,2.5e-05
GO:0001659,temperature homeostasis,95,10,1.54,93,0.00046,3.4e-06
GO:0009410,response to xenobiotic stimulus,206,11,3.33,298,0.00047,0.00059
GO:0045667,regulation of osteoblast differentiation,63,6,1.02,292,0.00050,0.00057
GO:0042116,macrophage activation,63,6,1.02,293,0.00050,0.00057
GO:0050866,negative regulation of cell activation,120,12,1.94,52,0.00052,6.0e-07
GO:0000302,response to reactive oxygen species,145,9,2.35,303,0.00053,0.00065
GO:0030224,monocyte differentiation,24,4,0.39,296,0.00053,0.00059
GO:0051094,positive regulation of developmental pro...,661,34,10.7,10,0.00059,1.5e-09
GO:0030301,cholesterol transport,43,5,0.7,306,0.00059,0.00067
GO:0048646,anatomical structure formation involved ...,573,26,9.27,79,0.00078,2.0e-06
GO:0030730,sequestering of triglyceride,12,3,0.19,318,0.00080,0.00087
GO:0032103,positive regulation of response to exter...,245,17,3.96,50,0.00083,5.3e-07
GO:0002286,T cell activation involved in immune res...,70,6,1.13,329,0.00087,0.00101
GO:0010628,positive regulation of gene expression,666,22,10.78,348,0.00090,0.00131
GO:0002573,myeloid leukocyte differentiation,133,16,2.15,6,0.00096,4.6e-10
GO:0050901,leukocyte tethering or rolling,13,3,0.21,335,0.00103,0.00112
GO:0007265,Ras protein signal transduction,227,11,3.67,349,0.00105,0.00132
GO:0030225,macrophage differentiation,29,4,0.47,340,0.00111,0.00123
GO:0060964,regulation of miRNA-mediated gene silenc...,29,4,0.47,341,0.00111,0.00123
GO:0009636,response to toxic substance,131,12,2.12,72,0.00118,1.5e-06
GO:0030335,positive regulation of cell migration,323,18,5.23,106,0.00118,5.7e-06
